territory_id,month,drug_name,unit_price_inr
T01,2024-01,GlucoCare,609.43
T01,2024-01,DiabetoShield,543.32
T01,2024-01,SugarBlock,707.52
T01,2024-02,GlucoCare,626.11
T01,2024-02,DiabetoShield,548.16
T01,2024-02,SugarBlock,676.94
T01,2024-03,GlucoCare,612.0
T01,2024-03,DiabetoShield,549.67
T01,2024-03,SugarBlock,702.79
T01,2024-04,GlucoCare,637.86
T01,2024-04,DiabetoShield,557.53
T01,2024-04,SugarBlock,679.34
T01,2024-05,GlucoCare,612.19
T01,2024-05,DiabetoShield,574.04
T01,2024-05,SugarBlock,697.01
T01,2024-06,GlucoCare,635.52
T01,2024-06,DiabetoShield,568.66
T01,2024-06,SugarBlock,680.21
T01,2024-07,GlucoCare,609.94
T01,2024-07,DiabetoShield,569.85
T01,2024-07,SugarBlock,706.3
T01,2024-08,GlucoCare,604.89
T01,2024-08,DiabetoShield,552.0
T01,2024-08,SugarBlock,682.64
T01,2024-09,GlucoCare,627.39
T01,2024-09,DiabetoShield,550.7
T01,2024-09,SugarBlock,689.19
T01,2024-10,GlucoCare,620.06
T01,2024-10,DiabetoShield,572.64
T01,2024-10,SugarBlock,670.43
T01,2024-11,GlucoCare,619.86
T01,2024-11,DiabetoShield,560.15
T01,2024-11,SugarBlock,685.43
T01,2024-12,GlucoCare,604.65
T01,2024-12,DiabetoShield,556.69
T01,2024-12,SugarBlock,699.1
T02,2024-01,GlucoCare,638.1
T02,2024-01,DiabetoShield,575.44
T02,2024-01,SugarBlock,707.18
T02,2024-02,GlucoCare,634.21
T02,2024-02,DiabetoShield,545.53
T02,2024-02,SugarBlock,706.91
T02,2024-03,GlucoCare,610.52
T02,2024-03,DiabetoShield,571.37
T02,2024-03,SugarBlock,700.1
T02,2024-04,GlucoCare,632.36
T02,2024-04,DiabetoShield,559.53
T02,2024-04,SugarBlock,686.89
T02,2024-05,GlucoCare,623.69
T02,2024-05,DiabetoShield,572.17
T02,2024-05,SugarBlock,696.11
T02,2024-06,GlucoCare,619.23
T02,2024-06,DiabetoShield,549.45
T02,2024-06,SugarBlock,691.97
T02,2024-07,GlucoCare,638.08
T02,2024-07,DiabetoShield,551.25
T02,2024-07,SugarBlock,701.28
T02,2024-08,GlucoCare,631.24
T02,2024-08,DiabetoShield,575.36
T02,2024-08,SugarBlock,702.69
T02,2024-09,GlucoCare,624.81
