territory_id,month,digital_spend_inr,tv_spend_inr,events_spend_inr
T01,2024-01,264739.4,360862.17,85457.9
T01,2024-02,510703.83,357382.17,184558.9
T01,2024-03,673226.94,777848.37,286051.47
T01,2024-04,282963.74,1070515.25,289872.87
T01,2024-05,294789.86,1299086.03,273665.19
T01,2024-06,640677.6,743663.0,58541.06
T01,2024-07,304343.58,738205.93,128468.67
T01,2024-08,526917.29,1015564.96,104267.61
T01,2024-09,412096.56,1243790.54,209167.92
T01,2024-10,561166.58,1211789.33,181827.65
T01,2024-11,546520.61,913754.49,100568.2
T01,2024-12,186694.42,878703.4,251300.18
T02,2024-01,627683.72,1159320.93,162336.16
T02,2024-02,525170.34,816676.88,249368.3
T02,2024-03,322319.5,767899.15,229160.71
T02,2024-04,637599.45,1186579.03,83911.58
T02,2024-05,224838.16,548040.17,122670.41
T02,2024-06,221614.89,1338968.68,177270.29
T02,2024-07,174557.82,708671.08,167326.45
T02,2024-08,559251.89,1163826.32,92231.86
T02,2024-09,319713.4,1270862.98,159034.56
T02,2024-10,466707.36,1374492.77,153107.7
T02,2024-11,192866.6,883176.43,101438.64
T02,2024-12,265962.87,643026.48,149671.1
T03,2024-01,244560.8,1179748.93,50794.37
T03,2024-02,657647.71,985887.88,108647.48
T03,2024-03,153936.13,562047.61,280339.78
T03,2024-04,340376.09,685305.62,78859.54
T03,2024-05,518270.06,614781.22,123220.48
T03,2024-06,191923.77,461759.69,90325.61
T03,2024-07,692659.0,914496.88,288261.11
T03,2024-08,317553.63,814333.12,275258.23
T03,2024-09,554713.96,925142.52,212216.84
T03,2024-10,183159.57,1360016.44,287529.48
T03,2024-11,538589.8,718922.98,124221.4
T03,2024-12,297249.98,485558.82,59201.12
T04,2024-01,157886.05,788827.8,165860.84
T04,2024-02,285056.52,816825.63,297229.56
T04,2024-03,310016.51,1317702.13,116707.06
T04,2024-04,436132.38,980845.75,82972.04
T04,2024-05,618698.05,474520.56,134417.66
T04,2024-06,440172.8,1265124.89,263371.21
T04,2024-07,339707.83,978481.88,113594.07
T04,2024-08,357579.48,666022.17,181798.32
T04,2024-09,372516.1,1384948.09,135047.92
T04,2024-10,622566.6,1329813.21,268198.53
T04,2024-11,679996.54,1228131.84,154871.85
T04,2024-12,471452.44,1164929.68,165474.79
T05,2024-01,562526.45,1127465.77,204486.18
T05,2024-02,266904.78,695166.67,265798.45
T05,2024-03,345807.29,910081.16,93594.45
T05,2024-04,430115.16,1301492.78,218040.84
T05,2024-05,636204.17,1209535.07,156271.35
T05,2024-06,228734.27,1211299.08,283139.12
T05,2024-07,516748.24,609215.89,239563.83
T05,2024-08,413240.58,460825.63,143661.69
T05,2024-09,537216.23,912604.99,186733.38
T05,2024-10,265532.14,823937.93,101329.46
T05,2024-11,481534.86,874226.52,61887.35
T05,2024-12,423325.25,509129.0,237141.8
T06,2024-01,658481.15,983213.6,207823.78
T06,2024-02,237749.14,534689.75,74652.44
T06,2024-03,623080.85,1361377.56,280067.14
T06,2024-04,505930.75,1045162.96,205126.59
T06,2024-05,651002.53,1179933.73,177164.21
T06,2024-06,419653.25,1158570.98,100603.74
T06,2024-07,490486.45,715095.92,215660.69
T06,2024-08,359148.85,564388.57,255815.66
T06,2024-09,441842.16,1070512.43,194759.44
T06,2024-10,623008.73,1133752.11,292714.25
T06,2024-11,532422.5,1184789.75,269496.35
T06,2024-12,516215.55,1372726.1,83705.9
T07,2024-01,230542.56,841689.77,235467.19
T07,2024-02,506184.78,1307248.77,210521.47
T07,2024-03,345036.58,575615.85,296044.5
T07,2024-04,503973.45,304890.07,132923.68
T07,2024-05,409118.93,766135.58,292987.65
T07,2024-06,311679.49,618651.31,51346.13
T07,2024-07,544205.3,770725.75,66178.69
T07,2024-08,492308.79,531554.37,94036.8
T07,2024-09,595419.22,313876.63,287887.92
T07,2024-10,635780.73,552325.77,108819.46
T07,2024-11,414416.51,362239.74,254035.72
T07,2024-12,436904.04,1221767.43,256477.52
T08,2024-01,495393.5,1099280.27,298319.22
T08,2024-02,312819.53,583600.67,172859.02
T08,2024-03,245924.99,1027463.06,281901.53
T08,2024-04,492286.17,668833.05,200100.08
T08,2024-05,491774.89,332500.54,234353.61
T08,2024-06,299813.79,626355.21,73100.77
T08,2024-07,585135.0,1131457.21,103778.05
T08,2024-08,375817.96,1113496.31,169567.91
T08,2024-09,504974.74,785336.03,249712.01
T08,2024-10,582522.23,1105432.82,80755.18
T08,2024-11,421803.49,946455.07,67955.65
T08,2024-12,492177.23,1183395.61,199323.92
T09,2024-01,669571.89,589707.4,237116.24
T09,2024-02,556407.83,1134909.37,166576.34
T09,2024-03,482257.88,1207182.79,298593.62
T09,2024-04,353693.45,647469.12,95450.45
T09,2024-05,297406.12,602058.22,141205.95
T09,2024-06,311060.03,470134.14,198264.27
T09,2024-07,478133.25,655011.59,225767.05
T09,2024-08,306864.64,809615.61,78271.74
T09,2024-09,187473.51,937347.79,252852.34
T09,2024-10,689577.4,409793.22,57874.24
T09,2024-11,376741.72,1043329.79,277633.17
T09,2024-12,378272.21,892923.15,53425.38
T10,2024-01,281711.43,1296627.07,122540.1
T10,2024-02,637507.68,522165.49,103534.5
T10,2024-03,342083.49,721925.48,159031.33
T10,2024-04,410399.55,979189.3,124209.98
T10,2024-05,451379.27,914729.33,237189.47
T10,2024-06,691408.4,896145.0,262574.98
T10,2024-07,628784.53,924240.34,290118.65
T10,2024-08,205018.24,629528.7,236990.98
T10,2024-09,203620.89,478843.51,69576.3
T10,2024-10,635356.13,755558.88,113363.69
T10,2024-11,621314.12,1057393.2,112253.41
T10,2024-12,262429.18,1099060.41,292052.63
