doctor_id,territory_id,month,drug_name,prescriptions,unit_price_inr
D0001,T09,2024-01,GlucoCare,17,607.03
D0001,T09,2024-01,DiabetoShield,10,567.47
D0001,T09,2024-01,SugarBlock,14,683.8
D0001,T09,2024-02,GlucoCare,16,629.02
D0001,T09,2024-02,DiabetoShield,17,576.39
D0001,T09,2024-02,SugarBlock,3,699.29
D0001,T09,2024-03,GlucoCare,12,622.06
D0001,T09,2024-03,DiabetoShield,9,546.15
D0001,T09,2024-03,SugarBlock,8,703.58
D0001,T09,2024-04,GlucoCare,13,627.61
D0001,T09,2024-04,DiabetoShield,10,551.04
D0001,T09,2024-04,SugarBlock,9,704.36
D0001,T09,2024-05,GlucoCare,12,631.99
D0001,T09,2024-05,DiabetoShield,1,571.61
D0001,T09,2024-05,SugarBlock,21,685.58
D0001,T09,2024-06,GlucoCare,11,628.81
D0001,T09,2024-06,DiabetoShield,12,563.39
D0001,T09,2024-06,SugarBlock,7,680.47
D0001,T09,2024-07,GlucoCare,14,609.21
D0001,T09,2024-07,DiabetoShield,12,552.52
D0001,T09,2024-07,SugarBlock,9,669.51
D0001,T09,2024-08,GlucoCare,13,604.11
D0001,T09,2024-08,DiabetoShield,9,566.89
D0001,T09,2024-08,SugarBlock,11,707.51
D0001,T09,2024-09,GlucoCare,17,634.85
D0001,T09,2024-09,DiabetoShield,18,571.68
D0001,T09,2024-09,SugarBlock,4,682.64
D0001,T09,2024-10,GlucoCare,18,610.04
D0001,T09,2024-10,DiabetoShield,6,556.93
D0001,T09,2024-10,SugarBlock,16,697.21
D0001,T09,2024-11,GlucoCare,14,634.89
D0001,T09,2024-11,DiabetoShield,19,558.77
D0001,T09,2024-11,SugarBlock,3,706.34
D0001,T09,2024-12,GlucoCare,14,633.56
D0001,T09,2024-12,DiabetoShield,14,556.63
D0001,T09,2024-12,SugarBlock,3,674.56
D0002,T05,2024-01,GlucoCare,17,607.18
D0002,T05,2024-01,DiabetoShield,6,561.75
D0002,T05,2024-01,SugarBlock,28,704.7
D0002,T05,2024-02,GlucoCare,18,607.49
D0002,T05,2024-02,DiabetoShield,21,572.35
D0002,T05,2024-02,SugarBlock,15,705.77
D0002,T05,2024-03,GlucoCare,14,605.55
D0002,T05,2024-03,DiabetoShield,17,571.81
D0002,T05,2024-03,SugarBlock,15,670.26
D0002,T05,2024-04,GlucoCare,16,624.48
D0002,T05,2024-04,DiabetoShield,16,562.53
D0002,T05,2024-04,SugarBlock,13,708.85
D0002,T05,2024-05,GlucoCare,15,623.6
D0002,T05,2024-05,DiabetoShield,22,558.45
D0002,T05,2024-05,SugarBlock,8,677.2
D0002,T05,2024-06,GlucoCare,1,628.15
D0002,T05,2024-06,DiabetoShield,5,464.01
D0002,T05,2024-06,SugarBlock,28,594.89
D0002,T05,2024-07,GlucoCare,4,616.49
D0002,T05,2024-07,DiabetoShield,23,428.81
