rep_id,doctor_id,month,calls_made,samples_given
R048,D0001,2024-01,6,5
R048,D0001,2024-02,5,15
R048,D0001,2024-03,2,4
R048,D0001,2024-04,3,7
R048,D0001,2024-05,4,5
R048,D0001,2024-06,3,5
R048,D0001,2024-07,5,0
R048,D0001,2024-08,4,12
R048,D0001,2024-09,6,17
R048,D0001,2024-10,7,12
R048,D0001,2024-11,2,6
R048,D0001,2024-12,6,10
R026,D0002,2024-01,10,7
R026,D0002,2024-02,8,19
R026,D0002,2024-03,3,0
R026,D0002,2024-04,8,21
R026,D0002,2024-05,4,2
R026,D0002,2024-06,0,0
R026,D0002,2024-07,2,3
R026,D0002,2024-08,1,1
R026,D0002,2024-09,1,2
R026,D0002,2024-10,3,1
R026,D0002,2024-11,2,1
R026,D0002,2024-12,2,3
R025,D0003,2024-01,4,11
R025,D0003,2024-02,5,5
R025,D0003,2024-03,2,0
R025,D0003,2024-04,3,3
R025,D0003,2024-05,2,0
R025,D0003,2024-06,0,0
R025,D0003,2024-07,1,2
R025,D0003,2024-08,1,2
R025,D0003,2024-09,0,0
R025,D0003,2024-10,0,0
R025,D0003,2024-11,0,0
R025,D0003,2024-12,0,0
R048,D0004,2024-01,0,0
R048,D0004,2024-02,1,2
R048,D0004,2024-03,3,5
R048,D0004,2024-04,2,4
R048,D0004,2024-05,1,3
R048,D0004,2024-06,0,0
R048,D0004,2024-07,1,2
R048,D0004,2024-08,1,1
R048,D0004,2024-09,2,4
R048,D0004,2024-10,1,0
R048,D0004,2024-11,0,0
R048,D0004,2024-12,1,1
R037,D0005,2024-01,1,0
R037,D0005,2024-02,4,10
R037,D0005,2024-03,3,6
R037,D0005,2024-04,2,3
R037,D0005,2024-05,0,0
R037,D0005,2024-06,2,3
R037,D0005,2024-07,0,0
R037,D0005,2024-08,1,0
R037,D0005,2024-09,2,3
R037,D0005,2024-10,2,6
R037,D0005,2024-11,2,6
R037,D0005,2024-12,2,3
R012,D0006,2024-01,5,9
R012,D0006,2024-02,0,0
R012,D0006,2024-03,2,0
R012,D0006,2024-04,5,10
R012,D0006,2024-05,3,2
R012,D0006,2024-06,1,3
R012,D0006,2024-07,7,13
R012,D0006,2024-08,2,2
R012,D0006,2024-09,3,8
R012,D0006,2024-10,5,12
R012,D0006,2024-11,3,5
R012,D0006,2024-12,2,2
R037,D0007,2024-01,6,4
R037,D0007,2024-02,5,10
R037,D0007,2024-03,6,10
R037,D0007,2024-04,4,7
R037,D0007,2024-05,4,11
R037,D0007,2024-06,6,7
R037,D0007,2024-07,4,12
R037,D0007,2024-08,4,0
R037,D0007,2024-09,5,14
R037,D0007,2024-10,5,2
R037,D0007,2024-11,1,0
R037,D0007,2024-12,5,13
R050,D0008,2024-01,4,2
R050,D0008,2024-02,1,2
R050,D0008,2024-03,6,10
R050,D0008,2024-04,3,6
R050,D0008,2024-05,3,6
R050,D0008,2024-06,3,3
R050,D0008,2024-07,4,0
R050,D0008,2024-08,1,1
R050,D0008,2024-09,1,1
R050,D0008,2024-10,5,11
R050,D0008,2024-11,2,0
R050,D0008,2024-12,4,12
R013,D0009,2024-01,3,7
R013,D0009,2024-02,6,5
R013,D0009,2024-03,3,5
R013,D0009,2024-04,8,13
R013,D0009,2024-05,2,1
R013,D0009,2024-06,5,5
R013,D0009,2024-07,0,0
R013,D0009,2024-08,4,11
R013,D0009,2024-09,2,3
R013,D0009,2024-10,1,2
R013,D0009,2024-11,7,0
R013,D0009,2024-12,2,3
R048,D0010,2024-01,1,3
R048,D0010,2024-02,2,1
R048,D0010,2024-03,2,2
R048,D0010,2024-04,2,1
R048,D0010,2024-05,3,5
R048,D0010,2024-06,0,0
R048,D0010,2024-07,5,1
R048,D0010,2024-08,3,9
R048,D0010,2024-09,2,2
R048,D0010,2024-10,3,3
R048,D0010,2024-11,2,3
R048,D0010,2024-12,1,3
R032,D0011,2024-01,1,3
R032,D0011,2024-02,6,11
R032,D0011,2024-03,3,6
R032,D0011,2024-04,6,6
